epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,9072.62,0.88091,0.47463,0.86958,0.95921,0.79851,0.88601,0.57105,1.2975,0.82811,1.00593,0.000911,0.000911,0.000911
57,9235.13,0.87049,0.47644,0.87493,0.94591,0.78305,0.88425,0.58876,1.27912,0.8297,1.01332,0.0008912,0.0008912,0.0008912
58,9397.7,0.85928,0.46343,0.86243,0.94342,0.80886,0.89006,0.5858,1.28985,0.80781,1.01125,0.0008714,0.0008714,0.0008714
59,9560.45,0.8574,0.46703,0.86724,0.97167,0.76787,0.87021,0.56928,1.31445,0.82546,1.00719,0.0008516,0.0008516,0.0008516
60,9723.03,0.83588,0.45439,0.86261,0.95641,0.79478,0.88777,0.58034,1.30437,0.82921,1.02419,0.0008318,0.0008318,0.0008318
61,9885.53,0.84289,0.45856,0.86308,0.95823,0.79104,0.8753,0.57436,1.29562,0.83944,1.01671,0.000812,0.000812,0.000812
62,10047.9,0.8308,0.45044,0.86006,0.96923,0.79104,0.881,0.57199,1.26605,0.80498,1.00547,0.0007922,0.0007922,0.0007922
63,10210.5,0.83292,0.45266,0.86,0.97058,0.79478,0.88853,0.59009,1.26091,0.82172,1.00522,0.0007724,0.0007724,0.0007724
64,10373.4,0.81414,0.44572,0.85923,0.96939,0.77612,0.8822,0.59009,1.2901,0.83314,1.01607,0.0007526,0.0007526,0.0007526
65,10535.9,0.80551,0.43864,0.85969,0.96724,0.80597,0.88128,0.58641,1.25034,0.80792,1.01016,0.0007328,0.0007328,0.0007328
66,10698.3,0.7969,0.43579,0.85847,0.93946,0.80597,0.87504,0.59118,1.23694,0.79799,1.0029,0.000713,0.000713,0.000713
67,10860.8,0.79185,0.43001,0.85629,0.95033,0.79851,0.87742,0.5995,1.23924,0.79925,1.00391,0.0006932,0.0006932,0.0006932
68,11023.2,0.78098,0.42499,0.85088,0.96729,0.79478,0.86806,0.59254,1.2255,0.79425,1.00078,0.0006734,0.0006734,0.0006734
69,11186,0.78362,0.42958,0.84868,0.9766,0.7787,0.88326,0.60307,1.20836,0.78178,0.99744,0.0006536,0.0006536,0.0006536
70,11348.7,0.77578,0.42069,0.85188,0.97827,0.79104,0.88203,0.5925,1.2582,0.78296,1.00728,0.0006338,0.0006338,0.0006338
71,11511.5,0.77134,0.42258,0.84826,0.97246,0.79068,0.87829,0.59942,1.22888,0.82538,1.01005,0.000614,0.000614,0.000614
72,11674,0.75812,0.41368,0.84838,0.96933,0.78358,0.88,0.60539,1.2292,0.83784,1.00293,0.0005942,0.0005942,0.0005942
73,11836.5,0.75508,0.41327,0.84428,0.95707,0.80224,0.89157,0.60128,1.2202,0.75087,1.00309,0.0005744,0.0005744,0.0005744
74,11999.1,0.74468,0.4082,0.84173,0.9766,0.79478,0.88198,0.60074,1.20806,0.77703,1.00736,0.0005546,0.0005546,0.0005546
75,12161.9,0.73578,0.40649,0.8396,0.94754,0.80881,0.88216,0.60416,1.22807,0.76736,0.99183,0.0005348,0.0005348,0.0005348
76,12324.5,0.7309,0.40178,0.8463,0.96312,0.78358,0.88188,0.60857,1.20361,0.7613,0.9992,0.000515,0.000515,0.000515
77,12487.1,0.72344,0.40093,0.84426,0.95554,0.80186,0.88541,0.61529,1.17478,0.76083,0.9917,0.0004952,0.0004952,0.0004952
78,12649.7,0.71218,0.39468,0.84106,0.97245,0.79038,0.88421,0.61051,1.17108,0.71981,0.98255,0.0004754,0.0004754,0.0004754
79,12812.1,0.71367,0.39779,0.8387,0.9594,0.79352,0.89324,0.62368,1.18907,0.75746,0.99112,0.0004556,0.0004556,0.0004556
80,12974.6,0.70481,0.39047,0.83664,0.95983,0.80238,0.89256,0.61404,1.19856,0.75546,0.99395,0.0004358,0.0004358,0.0004358
81,13137,0.7017,0.39109,0.83895,0.9676,0.78007,0.87733,0.61174,1.17301,0.72412,0.99406,0.000416,0.000416,0.000416
82,13300,0.70004,0.38753,0.83551,0.97715,0.7979,0.89571,0.6118,1.18063,0.73905,1.00547,0.0003962,0.0003962,0.0003962
83,13462.5,0.6831,0.37666,0.83363,0.96874,0.79104,0.89317,0.62366,1.17122,0.73458,0.98871,0.0003764,0.0003764,0.0003764
84,13625.6,0.67484,0.38035,0.83231,0.97231,0.78614,0.886,0.61392,1.18394,0.75776,1.00024,0.0003566,0.0003566,0.0003566
85,13788.5,0.67068,0.3734,0.83273,0.96747,0.77612,0.87387,0.61888,1.15776,0.76785,0.99054,0.0003368,0.0003368,0.0003368
86,13951.5,0.66885,0.3744,0.83532,0.98132,0.79104,0.88448,0.61653,1.1705,0.77062,0.99748,0.000317,0.000317,0.000317
87,14114.6,0.66539,0.37499,0.83267,0.96055,0.79478,0.88573,0.62851,1.16008,0.75476,0.99463,0.0002972,0.0002972,0.0002972
88,14277.6,0.65755,0.37006,0.8286,0.97218,0.78243,0.88573,0.62776,1.16972,0.76336,1.00036,0.0002774,0.0002774,0.0002774
89,14440,0.65778,0.36877,0.83193,0.97177,0.78731,0.88517,0.63007,1.15473,0.75486,0.99636,0.0002576,0.0002576,0.0002576
90,14602.7,0.65466,0.36603,0.8323,0.96403,0.80012,0.88859,0.62549,1.16078,0.75754,0.9925,0.0002378,0.0002378,0.0002378
91,14690.2,0.63687,0.3372,0.82636,0.96395,0.79818,0.87909,0.61339,1.18337,0.74233,0.99806,0.000218,0.000218,0.000218
92,14852.5,0.60942,0.32612,0.82188,0.96751,0.79104,0.87458,0.60944,1.17461,0.76898,1.00129,0.0001982,0.0001982,0.0001982
93,15014.7,0.57992,0.31572,0.81516,0.98164,0.79791,0.88369,0.62053,1.15859,0.77597,0.99417,0.0001784,0.0001784,0.0001784
94,15176.8,0.57862,0.31838,0.81474,0.98146,0.79851,0.88516,0.6191,1.15142,0.78946,0.99695,0.0001586,0.0001586,0.0001586
95,15338.6,0.5644,0.31454,0.8118,0.96729,0.79851,0.87963,0.62161,1.14399,0.77849,0.99193,0.0001388,0.0001388,0.0001388
96,15501,0.56176,0.31363,0.81497,0.96751,0.79851,0.8861,0.62755,1.14266,0.76197,0.98928,0.000119,0.000119,0.000119
97,15663.1,0.54433,0.30787,0.81155,0.96806,0.79166,0.88464,0.62816,1.13705,0.75943,0.99193,9.92e-05,9.92e-05,9.92e-05
98,15825.4,0.55205,0.30616,0.80592,0.96055,0.80224,0.88831,0.63416,1.13321,0.74855,0.98906,7.94e-05,7.94e-05,7.94e-05
99,15987.6,0.54142,0.30332,0.80862,0.97744,0.79851,0.89377,0.63549,1.1306,0.75911,0.9907,5.96e-05,5.96e-05,5.96e-05
100,16150.2,0.538,0.30183,0.80393,0.97521,0.79104,0.88779,0.63763,1.12718,0.76666,0.9901,3.98e-05,3.98e-05,3.98e-05
